Location,Supply Source,Item #,Name,Qty. On Hand,Par Level,Min Level,Reorder Qty,Custom #, Bin #, Price, GL #, Pack Count, Custom 1, Custom 2, Custom 3, Ext. Price
Sumner Vault,MEDOSWEET,I082,Buttermilk_Medosweet_2.5ga,0,0,0,0,INGREDIENT,,2.73,,1,,,,0
Sumner Machinery part,LBC Bakery Equipment,30200-56-1,Rotation Motor,1,0,0,0,PART,Top Rack 5,249.17,,1,LBC Ovens,,,249.17
Sumner Machinery part,LBC Bakery Equipment,50800-103,Complete door Handle,0,0,0,0,PART,Top Rack 5,162.26,,1,LBC Ovens,,,0
Sumner Machinery part,LBC Bakery Equipment,31600-13,Light Bulb 120 V,2,0,0,0,PART,On the Pallet,3.49,,1,LBC Ovens,,,6.98
Sumner Machinery part,Amazon,38x58x10,Bearings,8,0,0,0,PART,222,1,,1,Hobart Mixer,,,8
Manteca Dry Mix,BAYCO,9302,Baking Powder,0,0,0,0,INGREDIENT,,98.6,,1,,,,0
Sumner Vault,Amazon,P114,SeatCovers_Amazon_250/pk,0,0,0,0,SUPPLIES,,42,,1,,,,0
Manteca Dry Mix,BAYCO,9301,Vital Wheat Gluten,0,0,0,0,INGREDIENT,,108,,1,,,,0
Sumner Vault,HYGIENA,P115,AllerSnaps_Hygenia_100pc/pk Item#ALS-100,0,0,0,0,SUPPLIES,,255.51,,1,,,,0
Sumner Vault,Uline,P116,Weight_Uline_1lbCertified,0,0,0,0,SUPPLIES,,134,,1,,,,0
Sumner Vault,Amazon,P117,NotePads_Amazon_12pc/pk,0,0,0,0,SUPPLIES,,10.37,,1,,,,0
Manteca Bakery,MEDOSWEET,I016,EggsLiquid_Willamette_40lb/cs Item#1159,0,0,0,0,INGREDIENT,,78.8,,1,,,,0
Sumner Machinery part,Hinds-Bock,9155118,"CLEVIS 5/8""-18 THRD PLTD",2,0,0,0,PART,75,69.65,,1,Hinds-Bock Depositor,,,139.3
Sumner Vault,SA MILLIGAN,I083,XanthanGum_SAMilligan_50lbs,0,0,0,0,INGREDIENT,,450,,1,,,,0
Sumner Vault,GREAT LITTLE BOX COMPANY,P118,Small4Cell(8PK)_GLBC_25/bundle Item#904320030-001,7,0,0,0,PACKAGING,,20.5,,1,,,,143.5
Sumner Vault,GREAT LITTLE BOX COMPANY,P119,Small12Cell(8PK)_GLBC_25/BD Item#904320032-001,37,0,0,0,PACKAGING,,22.25,,1,,,,823.25
Sumner Vault,BAKE MARK,I084,BakingPowder_BakeMark_ 50lbs,32,0,0,0,INGREDIENT,,89.38,,1,,,,2860.16
